id,sources,smirks
EVODEX.0-E1442,"EVODEX.0-P20319,EVODEX.0-P21123,EVODEX.0-P22443,EVODEX.0-P22445,EVODEX.0-P23993,EVODEX.0-P23999,EVODEX.0-P24004,EVODEX.0-P24009,EVODEX.0-P24014,EVODEX.0-P24019,EVODEX.0-P24024,EVODEX.0-P24029,EVODEX.0-P24034,EVODEX.0-P24039,EVODEX.0-P24044,EVODEX.0-P24049,EVODEX.0-P24054,EVODEX.0-P24059,EVODEX.0-P24064,EVODEX.0-P24069,EVODEX.0-P24074,EVODEX.0-P24079,EVODEX.0-P24084,EVODEX.0-P24089,EVODEX.0-P24094,EVODEX.0-P24099,EVODEX.0-P24104,EVODEX.0-P24109,EVODEX.0-P24114,EVODEX.0-P24119,EVODEX.0-P24125,EVODEX.0-P24130",[O:13][C@:14]([O:15])([C:36])[C:39].[H][O:94][C:93]>>[O:13][C@:14]([C:36])([C:39])[O:94][C:93].[H]
EVODEX.0-E1443,"EVODEX.0-P21122,EVODEX.0-P36025",[H]OC([H])([H])[C@@]1([O:9][C:10])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[H][O:9][C:10]
EVODEX.0-E1444,"EVODEX.0-P20315,EVODEX.0-P20331,EVODEX.0-P20333,EVODEX.0-P20344,EVODEX.0-P21756",[H][O:7][C:6].[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@:50]([O:49])([C:51])[C:65])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[C:6][O:7][C@@:50]([O:49])([C:51])[C:65]
EVODEX.0-E1445,EVODEX.0-P20323,[H][O:7][C:6]>>[H]OC([H])([H])[C@@]1([O:7][C:6])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
EVODEX.0-E146,"EVODEX.0-P2473,EVODEX.0-P2488,EVODEX.0-P3495,EVODEX.0-P3539",[H][C:3](=[O:2])[C:4]=[O:5]>>[H]O[C:3](=[O:2])[C:4]=[O:5]
EVODEX.0-E1460,"EVODEX.0-P20435,EVODEX.0-P20447,EVODEX.0-P35542,EVODEX.0-P36053,EVODEX.0-P36215,EVODEX.0-P36221,EVODEX.0-P36227,EVODEX.0-P36255,EVODEX.0-P36261,EVODEX.0-P36267,EVODEX.0-P36272,EVODEX.0-P36312,EVODEX.0-P36318,EVODEX.0-P36323,EVODEX.0-P36364,EVODEX.0-P36489,EVODEX.0-P36500,EVODEX.0-P36592,EVODEX.0-P36705,EVODEX.0-P36956,EVODEX.0-P36962,EVODEX.0-P36968,EVODEX.0-P36974,EVODEX.0-P37014,EVODEX.0-P37020,EVODEX.0-P37136,EVODEX.0-P37141,EVODEX.0-P37147,EVODEX.0-P37157,EVODEX.0-P37169,EVODEX.0-P37175,EVODEX.0-P37181",[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@:11]([C:8])([C:24])[H:48])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[H]O[C@:11]([C:8])([C:24])[H:48]
EVODEX.0-E1461,"EVODEX.0-P20513,EVODEX.0-P20514,EVODEX.0-P47797",[C:7][C@@:10]([O:11])([C:12])[H:48].[H][O:29][C:28]>>[C:7][C@:10]([C:12])([O:29][C:28])[H:48].[H]
EVODEX.0-E1462,"EVODEX.0-P20442,EVODEX.0-P20454",[H]O[C@:10]([C:7])([C:12])[H:48]>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@:10]([C:7])([C:12])[H:48])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
EVODEX.0-E1463,EVODEX.0-P35891,[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:21][C:22])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H]>>[H][O:21][C:22]
EVODEX.0-E1464,"EVODEX.0-P21323,EVODEX.0-P23543,EVODEX.0-P23555,EVODEX.0-P23560,EVODEX.0-P23565,EVODEX.0-P23575,EVODEX.0-P23585,EVODEX.0-P23606,EVODEX.0-P23616,EVODEX.0-P23621,EVODEX.0-P23702,EVODEX.0-P23729,EVODEX.0-P37186",[H][N:6](:[C:4]):[C:7].[O:28][C@@:29]([O:30])([C:38])[H:62]>>[C:4]:[N:6](:[C:7])[C@:29]([O:30])([C:38])[H:62].[H]
EVODEX.0-E1466,"EVODEX.0-P48549,EVODEX.0-P48553,EVODEX.0-P48558",[H][N:19](:[C:17]):[C:20]>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])([N:19](:[C:17]):[C:20])C([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
EVODEX.0-E147,"EVODEX.0-P2479,EVODEX.0-P2895,EVODEX.0-P3501",[H]O[C:4]([C:2]=[O:3])=[O:5]>>[H][C:4]([C:2]=[O:3])=[O:5]
EVODEX.0-E1479,"EVODEX.0-P22477,EVODEX.0-P22481",[H][O:3][P:2].[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@:12]([O:13])([C:21])[H:37])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[P:2][O:3][C@:12]([O:13])([C:21])[H:37]
EVODEX.0-E148,"EVODEX.0-P2490,EVODEX.0-P2502,EVODEX.0-P2514,EVODEX.0-P2917,EVODEX.0-P2934,EVODEX.0-P2947,EVODEX.0-P2963,EVODEX.0-P2983,EVODEX.0-P3551",[H]OC(=O)[C:52]([C:50])=[O:53]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:52]([C:50])=[O:53])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1
EVODEX.0-E1483,"EVODEX.0-P21101,EVODEX.0-P23657",[H][N:1]([C:2])[H:45].[O:26][C@@:27]([O:28])([C:36])[H:59]>>[N:1]([C:2])([C:27]([O:28])([C:36])[H:59])[H:45].[H]
EVODEX.0-E1508,EVODEX.0-P21760,[H][C:9]([C:7])([O:10])[H:41].[C:21][C:22]([O:23])([H:53])[H:54]>>[C:7][C@:9]([O:10])([C:22]([O:23])([H:53])[H:54])[H:41].[H]
EVODEX.0-E1509,"EVODEX.0-P21767,EVODEX.0-P30005,EVODEX.0-P30479",>>
EVODEX.0-E1512,EVODEX.0-P23627,[#6:7]:[#7&+:8](-[#6@:9](-[#85:50])(-[#8:10])-[#6@@:18]):[#6:20].[#15:35]-[#8:37]-[#85]>>[#85:50]-[#6@:9](-[#8:37]-[#15:35])(-[#8:10])-[#6@@:18].[#6:7]:[#7:8]:[#6:20]
EVODEX.0-E153,EVODEX.0-P30413,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])[O:19][P:20]>>[H][O:19][P:20]
EVODEX.0-E1540,"EVODEX.0-P23299,EVODEX.0-P47486,EVODEX.0-P47497",[H][C:15](:[C:14]):[C:16].[O:39][C@@:40]([O:41])([C:49])[H:78]>>[C:14]:[C:15](:[C:16])[C@@:40]([O:41])([C:49])[H:78].[H]
EVODEX.0-E1545,"EVODEX.0-P23448,EVODEX.0-P23453,EVODEX.0-P23487,EVODEX.0-P23498,EVODEX.0-P23503,EVODEX.0-P23508,EVODEX.0-P23513",[#6:3]:[#7:4]:[#6:5].[#85]-[#8]-[#15](=[#8])(-[#8]-[#85])-[#8]-[#6@@:18](-[#85:36])(-[#8:19])-[#6@@:25]>>[#6:3]:[#7&+:4](-[#6@:18](-[#85:36])(-[#8:19])-[#6@@:25]):[#6:5]
EVODEX.0-E1547,"EVODEX.0-P23549,EVODEX.0-P23570,EVODEX.0-P23580,EVODEX.0-P23590,EVODEX.0-P23611,EVODEX.0-P23662,EVODEX.0-P23674,EVODEX.0-P23734",[N:9][C@:10]([O:11])([C:17])[H:29].[H][O:23][P:22]>>[C@@:10]([O:11])([C:17])([O:23][P:22])[H:29].[H]
EVODEX.0-E155,"EVODEX.0-P44650,EVODEX.0-P45421",[H]OP(=O)(O[H])OP(=O)(O[H])O[P:12]([O:11])(=[O:13])[O:14]>>[H]O[P:12]([O:11])(=[O:13])[O:14]
EVODEX.0-E1552,"EVODEX.0-P23470,EVODEX.0-P23482",[H][C:1]([O:2])([H:24])[H:25].[H]OP(=O)(O[H])O[C@@:9]([O:8])([C:15])[H:33]>>[C:1]([O:2])([C@@:9]([O:8])([C:15])[H:33])([H:24])[H:25]
EVODEX.0-E1565,"EVODEX.0-P28652,EVODEX.0-P29553",[H][O:14][P:12]>>[H]OP(=O)(O[H])[O:14][P:12]
EVODEX.0-E1570,"EVODEX.0-P23719,EVODEX.0-P23724",[#6:6]:[#7:7](-[#85]):[#6:8].[#6:18]:[#7&+:19](-[#6@:20](-[#85:71])(-[#8:21])-[#6@@:53]):[#6:55]>>[#6:6]:[#7:7](-[#6@@:20](-[#85:71])(-[#8:21])-[#6@@:53]):[#6:8].[#6:18]:[#7:19]:[#6:55]
EVODEX.0-E1573,"EVODEX.0-P37204,EVODEX.0-P37207,EVODEX.0-P37211,EVODEX.0-P37217,EVODEX.0-P37223,EVODEX.0-P37234,EVODEX.0-P37239,EVODEX.0-P37243,EVODEX.0-P37265,EVODEX.0-P44969",[#6:3]:[#7&+:4](-[#6@:5]):[#6:14]>>[#6:3]:[#7:4]:[#6:14].[#8]-[#85]
EVODEX.0-E1584,"EVODEX.0-P23951,EVODEX.0-P23960",[H]OC(=O)[C:5](:[C:4]):[C:9].[O:18][C@:19]([O:20])([C:29])[H:45]>>[C:4]:[C:5](:[C:9])[C@:19]([O:18])([C:29])[H:45].[H]
EVODEX.0-E1586,"EVODEX.0-P23963,EVODEX.0-P23968",[#6:5]-[#8:6]-[#85].[#6:15]:[#7&+:16](-[#6@:17](-[#85:43])(-[#8:18])-[#6@@:28]):[#6:30]>>[#6:5]-[#8:6]-[#6@@:17](-[#85:43])(-[#8:18])-[#6@@:28].[#6:15]:[#7:16]:[#6:30]
EVODEX.0-E1590,EVODEX.0-P24140,[H][C:19]([C:18])([O:20])[H:36].[C:1][C:2]([C:3])=[C:4]([C:5])[H:47]>>[C:1][C:2]1([C:3])[C@@:4]([C:5])([H:47])[C@:19]1([C:18])[H:36].[H]
EVODEX.0-E1591,EVODEX.0-P24141,[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[O:20][P:21]>>[H][O:20][P:21]
EVODEX.0-E1593,"EVODEX.0-P24143,EVODEX.0-P24928",[H][C:15]([C:16]([C:17])=[C:18]([C:19])[H:35])([H:29])[H:30].[C:4][C:5]([O:6])([H:48])[H:49]>>[C:4][C:5]([C@:18]([C:16](=[C:15]([H:29])[H:30])[C:17])([C:19])[H:35])([H:48])[H:49].[H]
EVODEX.0-E1599,EVODEX.0-P24160,[#6:5]-[#6:6](-[#85:31])(-[#85:32])-[#7&+:7](:[#6:8]):[#6:14].[#6:25]-[#7:26](-[#6@:22])-[#85]>>[#6:5]-[#6:6](-[#85:31])(-[#85:32])-[#7:26](-[#6:22])-[#6:25].[#6:8]:[#7:7]:[#6:14]
EVODEX.0-E16,"EVODEX.0-P12133,EVODEX.0-P1604,EVODEX.0-P1721,EVODEX.0-P1727,EVODEX.0-P1924,EVODEX.0-P2217,EVODEX.0-P2220,EVODEX.0-P2241,EVODEX.0-P2256,EVODEX.0-P2265,EVODEX.0-P2271,EVODEX.0-P2274,EVODEX.0-P2283,EVODEX.0-P2295,EVODEX.0-P2316,EVODEX.0-P2374,EVODEX.0-P2386,EVODEX.0-P2416,EVODEX.0-P2422,EVODEX.0-P2425,EVODEX.0-P2434,EVODEX.0-P2443,EVODEX.0-P2449,EVODEX.0-P2455,EVODEX.0-P2464,EVODEX.0-P2571,EVODEX.0-P2577,EVODEX.0-P2580,EVODEX.0-P2586,EVODEX.0-P2595,EVODEX.0-P2598,EVODEX.0-P2604,EVODEX.0-P2683,EVODEX.0-P2722,EVODEX.0-P2732,EVODEX.0-P2765,EVODEX.0-P2771,EVODEX.0-P2783,EVODEX.0-P2861,EVODEX.0-P2870,EVODEX.0-P2873,EVODEX.0-P2879,EVODEX.0-P2885,EVODEX.0-P294,EVODEX.0-P3006,EVODEX.0-P3012,EVODEX.0-P3021,EVODEX.0-P3030,EVODEX.0-P3033,EVODEX.0-P3039,EVODEX.0-P3050,EVODEX.0-P3074,EVODEX.0-P3080,EVODEX.0-P3086,EVODEX.0-P3092,EVODEX.0-P3123,EVODEX.0-P3132,EVODEX.0-P3141,EVODEX.0-P3207,EVODEX.0-P3239,EVODEX.0-P3242,EVODEX.0-P3285,EVODEX.0-P3306,EVODEX.0-P3358,EVODEX.0-P3370,EVODEX.0-P3374,EVODEX.0-P3389,EVODEX.0-P3395,EVODEX.0-P3398,EVODEX.0-P3420,EVODEX.0-P3484,EVODEX.0-P3531,EVODEX.0-P628,EVODEX.0-P6994",[H][C:47](=[O:46])[C:48]>>[H]O[C:47](=[O:46])[C:48]
EVODEX.0-E160,"EVODEX.0-P2701,EVODEX.0-P2719,EVODEX.0-P2997,EVODEX.0-P3233",[H][C:47](=[O:46])/[C:48]=[C:49]\[C:50]=[C:51][C:53]=[O:54]>>[H]O[C:47](=[O:46])/[C:48]=[C:49]\[C:50]=[C:51][C:53]=[O:54]
EVODEX.0-E1602,"EVODEX.0-P24175,EVODEX.0-P24709,EVODEX.0-P25088,EVODEX.0-P25331,EVODEX.0-P44973",[#6:20]:[#7:21]:[#6:22].[#6:5]-[#6:6](-[#85:46])(-[#85:47])-[#8:7]>>[#6:5]-[#6:6](-[#85:46])(-[#85:47])-[#7&+:21](:[#6:20]):[#6:22].[#85]
EVODEX.0-E1615,"EVODEX.0-P24248,EVODEX.0-P24260,EVODEX.0-P24344",[H]OP(=O)(O[H])O[C:2](=[C:1])[C:8]=[O:9].[H][O:49][C:48]>>[C:1]=[C:2]([C:8]=[O:9])[O:49][C:48]
EVODEX.0-E162,"EVODEX.0-P2744,EVODEX.0-P3477",[H][C:10]([C:9]=[C:8][C:7]=[C:6])=[O:11]>>[H]O[C:10]([C:9]=[C:8][C:7]=[C:6])=[O:11]
EVODEX.0-E1623,"EVODEX.0-P24278,EVODEX.0-P24284,EVODEX.0-P24295,EVODEX.0-P24423,EVODEX.0-P24433,EVODEX.0-P24439,EVODEX.0-P25037,EVODEX.0-P25042,EVODEX.0-P25113",[H][N:23]([C:24])[H:42].[C:10][C:11]([O:12])([H:59])[H:60]>>[C:10][C:11]([N:23]([C:24])[H:42])([H:59])[H:60].[H]
EVODEX.0-E1626,"EVODEX.0-P24300,EVODEX.0-P24306,EVODEX.0-P24311,EVODEX.0-P24316,EVODEX.0-P24379,EVODEX.0-P24384,EVODEX.0-P24387,EVODEX.0-P24392,EVODEX.0-P24397,EVODEX.0-P25032,EVODEX.0-P25188,EVODEX.0-P25193,EVODEX.0-P25198,EVODEX.0-P25209",[#6:1]-[#16&+:2](-[#6:3](-[#85:34])(-[#85:35])-[#6:4])-[#6:7].[#85:54]-[#7:25](-[#85])-[#6:26]>>[#85:34]-[#6:3](-[#85:35])(-[#6:4])-[#7:25](-[#85:54])-[#6:26].[#6:1]-[#16:2]-[#6:7]
EVODEX.0-E1630,EVODEX.0-P24323,[H][S:10][C:9].[O:21]=[C:22]/[C:24]=[C:26]\[C:27]=[C:28](/[Cl:29])[C:30]=[O:31]>>[H].[C:9][S:10]/[C:28](=[C:27]\[C:26]=[C:24]/[C:22]=[O:21])[C:30]=[O:31]
EVODEX.0-E1631,EVODEX.0-P24329,[H][S:10][C:9].[O:21]=[C:22]/[C:24]=[C:26](/[Cl:27])[C:28]=[C:29][C:30]=[O:31]>>[H].[C:9][S:10]/[C:26](=[C:24]/[C:22]=[O:21])[C:28]=[C:29][C:30]=[O:31]
EVODEX.0-E1632,EVODEX.0-P24335,[H][S:10][C:9].[C:26]:[C:27]([Cl:28]):[C:29]>>[H].[C:9][S:10][C:27](:[C:26]):[C:29]
EVODEX.0-E1641,"EVODEX.0-P24408,EVODEX.0-P24413,EVODEX.0-P24418,EVODEX.0-P24555,EVODEX.0-P24673,EVODEX.0-P25063,EVODEX.0-P30589,EVODEX.0-P30595,EVODEX.0-P39432,EVODEX.0-P39442",[O:18][C:19]([C:20])([H:76])[H:77].[H][O:44][C:43]>>[C:19]([C:20])([O:44][C:43])([H:76])[H:77].[H]
EVODEX.0-E165,"EVODEX.0-P2825,EVODEX.0-P2841",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:8]([C:7]=[C:6])=[O:9])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1>>[H][C:8]([C:7]=[C:6])=[O:9]
EVODEX.0-E1651,"EVODEX.0-P24473,EVODEX.0-P25007",[H][C:22]([C@:21]1([H:82])[C@:20]([C:19](=[C:17])[H:80])([H:81])[C@@:32]1([C:33])[C:34])([O:23])[H:83]>>[C:17]=[C:19](/[C:22](=[C:21]([C:20](=[C:32](\[C:33])[C:34])/[H:81])\[H:82])[H:83])[H:80].[H]
EVODEX.0-E1653,"EVODEX.0-P24485,EVODEX.0-P24490,EVODEX.0-P24500,EVODEX.0-P24505,EVODEX.0-P24508,EVODEX.0-P24513,EVODEX.0-P24523,EVODEX.0-P24528,EVODEX.0-P24549,EVODEX.0-P24908,EVODEX.0-P24913,EVODEX.0-P24918,EVODEX.0-P24923,EVODEX.0-P24982,EVODEX.0-P24987,EVODEX.0-P24992,EVODEX.0-P25052,EVODEX.0-P25073,EVODEX.0-P25093,EVODEX.0-P25098,EVODEX.0-P25108,EVODEX.0-P25118,EVODEX.0-P25148,EVODEX.0-P25153,EVODEX.0-P25163,EVODEX.0-P25256,EVODEX.0-P25261,EVODEX.0-P25266,EVODEX.0-P25271,EVODEX.0-P25276,EVODEX.0-P25281,EVODEX.0-P25296,EVODEX.0-P25301",[C:4][C:5]([O:6])([H:42])[H:43].[H][C:28](:[C:27]):[C:29]>>[C:4][C:5]([C:28](:[C:27]):[C:29])([H:42])[H:43].[H]
EVODEX.0-E1669,EVODEX.0-P24587,[#6:1]-[#16&+:2](-[#6:3])-[#6:17]>>[#7](-[#85])-[#6@](-[#85])(-[#6](-[#85])(-[#85])-[#6](-[#85])(-[#85])-[#6](=[#8])-[#8]-[#85])-[#6](=[#8])-[#8]-[#85].[#6:1]-[#16:2]-[#6:17]
EVODEX.0-E167,"EVODEX.0-P2834,EVODEX.0-P2847,EVODEX.0-P3065",[H][C:56]([C:55]=[C:54])=[O:57]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:56]([C:55]=[C:54])=[O:57])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1
EVODEX.0-E1670,"EVODEX.0-P24594,EVODEX.0-P24595,EVODEX.0-P24599,EVODEX.0-P24601,EVODEX.0-P24606",[N:1][C:2]([C:3])([H:15])[H:16].[H][N:7]([C:8])[H:25]>>[C:2]([C:3])([N:7]([C:8])[H:25])([H:15])[H:16].[H]
EVODEX.0-E1674,EVODEX.0-P24614,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[O:4][C:2]>>[H][O:4][C:2]
EVODEX.0-E1677,EVODEX.0-P25245,[H][O:4][C:2].[C:6][C:7]([S:8])([H:19])[H:20]>>[C:2][O:4][C:7]([C:6])([H:19])[H:20].[H]
EVODEX.0-E1678,"EVODEX.0-P24628,EVODEX.0-P47330",[H]S[C:10]([C:9])([H:25])[H:26]>>[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])S[C:10]([C:9])([H:25])[H:26]
EVODEX.0-E168,"EVODEX.0-P17608,EVODEX.0-P2924",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1>>[H]OC(=O)[C:2]([C:1])=[O:3]
EVODEX.0-E1680,"EVODEX.0-P37273,EVODEX.0-P37279,EVODEX.0-P46018",[H][S:19][C:18].[C:3][C:4]([O:5])([H:35])[H:36]>>[C:3][C:4]([S:19][C:18])([H:35])[H:36].[H]
EVODEX.0-E1683,"EVODEX.0-P24668,EVODEX.0-P48595",[O:6][C:7]([C:8])([H:17])[H:18].[H][C:1]#[N:2]>>[C:1](#[N:2])[C:7]([C:8])([H:17])[H:18].[H]
EVODEX.0-E1686,"EVODEX.0-P24678,EVODEX.0-P24683,EVODEX.0-P24693",[O:4][C:5]([C:6])([H:19])[H:20].[H][N:14](:[N:13]):[C:15]>>[C:5]([C:6])([N:14](:[N:13]):[C:15])([H:19])[H:20].[H]
EVODEX.0-E1688,EVODEX.0-P24680,[H][N:14](:[N:13]):[C:15]>>[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[N:14](:[N:13]):[C:15]
EVODEX.0-E1689,"EVODEX.0-P24698,EVODEX.0-P24703",[O:4][C:5]([C:6])([H:22])[H:23].[H][O:11][C:12]1:[C:13]:[C:14]:[N:15]:[C:16]:[C:17]:1>>[C:5]([C:6])([N:15]1:[C:14]:[C:13]:[C:12](=[O:11]):[C:17]:[C:16]:1)([H:22])[H:23].[H]
EVODEX.0-E1693,"EVODEX.0-P24726,EVODEX.0-P24745,EVODEX.0-P24753,EVODEX.0-P24772",[H]OP(=O)(O[H])[O:3][C:2](=[C:1]([H:24])[H:25])[C:8]=[O:9].[O:12]=[C:13]([C:14])[H:29]>>[H][O:12][C@:13]([C:1]([C:2](=[O:3])[C:8]=[O:9])([H:24])[H:25])([C:14])[H:29]
EVODEX.0-E17,EVODEX.0-P128,[H][C@@:55]([C:53])([O:56])[C:57]([H])([C:48])[H:96]>>[C:48][C:57](=[C:55]([C:53])[O:56])[H:96]
EVODEX.0-E1702,"EVODEX.0-P24761,EVODEX.0-P24780,EVODEX.0-P24791,EVODEX.0-P24802,EVODEX.0-P24813,EVODEX.0-P24824,EVODEX.0-P25020",[H]OP(=O)(O[H])O[C:2](=[C:1]([H:27])[H:28])[C:8]=[O:9].[H][O:25][C:24][C:15][C:16]([O:17])([O:18])[H:37]>>[H].[H]O[C@@:2]1([C:8])[C:1]([H:27])([H:28])[C@@:16]([O:17])([H:37])[C:15][C:24][O:25]1
EVODEX.0-E1712,"EVODEX.0-P34526,EVODEX.0-P34601",[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[O:4][P:5]>>[H][O:4][P:5]
EVODEX.0-E1720,"EVODEX.0-P24940,EVODEX.0-P24949",[C:39][C:40]([O:41])([H:128])[H:129].[H]OC(=O)[C:53](:[C:54]):[C:63]>>[C:39][C:40]([C:53](:[C:54]):[C:63])([H:128])[H:129].[H]
EVODEX.0-E1724,"EVODEX.0-P25011,EVODEX.0-P25068,EVODEX.0-P25078,EVODEX.0-P25083",[H][C:13](:[N:12]):[C:14].[C:23][C:24]([C:25])=[C:26]([C:27]([O:28])([H:66])[H:67])[H:65]>>[N:12]:[C:13](:[C:14])[C:24]([C:23])([C:25])[C:26](=[C:27]([H:66])[H:67])[H:65].[H]
EVODEX.0-E1729,"EVODEX.0-P47207,EVODEX.0-P47307",[H][C:13](:[C:12]):[C:14]>>[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[C:13](:[C:12]):[C:14]
EVODEX.0-E1733,"EVODEX.0-P25203,EVODEX.0-P25214,EVODEX.0-P25219",[#6:1]-[#16&+:2](-[#6:3])-[#6:7](-[#85:54])(-[#85:55])-[#6@@:8].[#6:28]-[#7:29](-[#85])-[#6:30]>>[#85:54]-[#6:7](-[#85:55])(-[#6@@:8])-[#7:29](-[#6:28])-[#6:30].[#6:1]-[#16:2]-[#6:3]
EVODEX.0-E1739,EVODEX.0-P25244,[C:2][C@:4]([O:5])([C:6]([C@:7]([O:8])([C:9])[H:32])([H:30])[H:31])[O:22].[H][O:15][C:14]>>[C:7]([O:8])([C:9])([O:15][C:14])[H:32].[H].[H]OP(=O)(O[H])O[C:4]([C:2]=[O:1])=[C:6]([H:30])[H:31].[H]
EVODEX.0-E1749,"EVODEX.0-P25347,EVODEX.0-P35220,EVODEX.0-P48275,EVODEX.0-P48280,EVODEX.0-P49295",[C:1]/[C:2](=[C:3](\[C:4]([O:5])([H:35])[H:36])[H:34])[C:14]>>[H]O[C:2]([C:1])([C:3](=[C:4]([H:35])[H:36])[H:34])[C:14].[H]
EVODEX.0-E175,"EVODEX.0-P3180,EVODEX.0-P3186",[H][C:29]([C:27]=[C:26]/[C:25]=[C:24]/[C:22]=[C:21]/[C:20]=[C:19]/[C:17]=[C:16]/[C:15]=[C:14]/[C:13]=[C:11]/[C:10]=[C:9]/[C:8]=[C:6]/[C:5]=[C:4]/[C:3]=[C:2])=[O:30]>>[H]O[C:29]([C:27]=[C:26]/[C:25]=[C:24]/[C:22]=[C:21]/[C:20]=[C:19]/[C:17]=[C:16]/[C:15]=[C:14]/[C:13]=[C:11]/[C:10]=[C:9]/[C:8]=[C:6]/[C:5]=[C:4]/[C:3]=[C:2])=[O:30]
EVODEX.0-E1750,EVODEX.0-P25672,[H][C@:2]([N:1]([H:22])[H:23])([C:3])[C:9].[C:16][C:17](=[O:18])[C:19]=[O:20]>>[C:2]([C:3])([C:9]=[O:10])=[O:18].[H][C@:17]([N:1]([H:22])[H:23])([C:16])[C:19]
EVODEX.0-E1752,"EVODEX.0-P25405,EVODEX.0-P25472,EVODEX.0-P25501,EVODEX.0-P25667,EVODEX.0-P25784,EVODEX.0-P25813,EVODEX.0-P26081,EVODEX.0-P26246,EVODEX.0-P26309,EVODEX.0-P26317,EVODEX.0-P26515,EVODEX.0-P26558,EVODEX.0-P26574,EVODEX.0-P26582,EVODEX.0-P26599,EVODEX.0-P26619,EVODEX.0-P26635,EVODEX.0-P26643,EVODEX.0-P26715,EVODEX.0-P26722,EVODEX.0-P26952,EVODEX.0-P26983",[H]N([H])[C@@:5]([H])([C:4])[C:7].[H]OC(=O)C(C([H])([H])C([H])([H])C(=O)O[H])=[O:16]>>[C:4][C:5]([C:7]=[O:8])=[O:16]
EVODEX.0-E1757,"EVODEX.0-P25662,EVODEX.0-P25824,EVODEX.0-P26091,EVODEX.0-P26263,EVODEX.0-P26304,EVODEX.0-P26328,EVODEX.0-P26569,EVODEX.0-P26630,EVODEX.0-P26710,EVODEX.0-P26947",[O:11]=[C:12][C:14](=[O:15])[C:16]>>[H]OC(=O)CC([H])([H])C([H])([H])C(=O)O[H].[H]N([H])[C@:14]([H])([C:12])[C:16]
